Sample type,Days after inoculation,Date,Licor,Trial,Treatment,Species,Plant Number,Isolate Number,Unique Sample Number,Obs,Photosynthesis
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,1,1.145928224
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,2,0.822435141
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,3,0.838279611
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,4,1.28940692
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,5,1.333933763
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,6,1.160148223
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,7,1.661962145
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,8,1.593952471
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,9,1.686115801
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,10,1.66883328
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,1,0.048382315
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,2,0.741411724
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,3,0.149416122
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,4,-1.309244914
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,5,-1.188923363
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,6,-0.135922919
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,7,-0.789798036
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,8,-2.130073569
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,9,0.275236279
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,10,-0.18670739
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,1,0.544919728
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,2,0.53403943
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,3,-0.050788963
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,4,0.423351563
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,5,0.315381102
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,6,0.324717627
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,7,0.41779503
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,8,0.198718216
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,9,0.380533598
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,10,0.459214619
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,1,8.32629034
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,2,8.099115651
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,3,7.647773774
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,4,9.240423123
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,5,8.739181238
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,6,8.281123522
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,7,9.794243439
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,8,8.876099279
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,9,8.927264153
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,10,8.522508969
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,11,8.366497643
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,1,0.025653087
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,2,0.59469871
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,3,0.54546666
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,4,0.363113772
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,5,0.254992162
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,6,0.849988239
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,7,0.207704585
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,8,1.004036138
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,9,0.470121012
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,10,0.426652189
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,11,0.553070947
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,12,0.636575289
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,1,0.136985787
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,2,0.149496441
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,3,-0.240730671
