Sample type,Days after inoculation,Date,Licor,Trial,Treatment,Species,Plant Number,Isolate Number,Unique Sample Number,Obs,Conductance,Ci
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,1,0.000407974,-4050.458451
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,2,0.00045475,-2467.03576
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,3,0.00067332,-1575.086478
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,4,0.000470876,-3938.661063
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,5,0.00067627,-2726.577804
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,6,0.002413163,-365.7830659
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,7,0.003447986,-367.9843748
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,8,0.003746124,-278.5077048
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,9,0.003593793,-347.7591038
1DroughtIndigenous Pathogen 1,9,6/8/2018,6400,1,Drought,Indigenous Pathogen ,1,1,3,10,0.003523824,-354.7338263
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,1,0.000204651,22.71313262
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,2,0.011917466,298.4344216
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,3,0.011151455,375.5949533
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,4,0.019788769,501.6672057
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,5,0.022987236,477.7546309
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,6,0.015861639,410.326589
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,7,0.016762575,472.8649372
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,8,0.025150058,533.6864656
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,9,0.014030718,366.7795863
2DroughtExotic Pathogen 1,37,7/6/2018,6400,2,Drought,Exotic Pathogen ,1,1,28,10,0.016151221,414.732199
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,1,-0.007542865,510.3523739
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,2,-0.003653303,627.5031508
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,3,-0.000533599,245.611573
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,4,-0.001048564,1034.758098
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,5,-0.001495096,729.5080485
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,6,0.000499659,-632.6219275
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,7,0.000303938,-1778.977649
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,8,0.000896096,44.80184335
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,9,0.001092961,-155.2349436
1WetExotic Pathogen 1,37,7/6/2018,6400,1,Wet,Exotic Pathogen ,1,1,30,10,-0.00024773,3326.577347
