ID,Sex,avfood,gsize
1,M,0.3698,2
2,M,0.5314,2
3,M,0.4944,2
4,M,0.4513,2
5,M,0.7437,3
6,M,0.572,3
7,F,0.7221,4
8,F,0.6612,4
9,F,1.2146,8
10,F,0.6832,4
11,F,0.7751,4
12,M,0.5114,3
13,F,0.783,4
14,M,0.9817,7
15,F,0.7982,4
16,M,0.6815,3
17,M,0.6507,3
18,F,0.6851,4
19,F,0.7136,4
20,F,1.0311,5
21,M,0.7387,3
22,F,0.7794,5
23,F,0.7939,5
24,F,0.912,6
25,M,0.4199,3
26,M,0.6024,4
27,F,0.6716,4
28,M,0.7675,4
29,F,0.4123,3
30,M,0.7289,4
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
,, , 
